"number","district","region","category_name","zap","np","pp","zak","mon","dpbg","max","zap_is_max","np_is_max","pp_is_max","zak_is_max","mon_is_max","dpbg_is_max","none_is_max","max_fcat_names","category_level"
136,5,32,"туристско-рекреационная_местность",0.44,0.56,0.78,0.78,0.44,0.39,0.78,0,0,1,1,0,0,0,"pp+zak",3
137,5,32,"природный_резерват",0.67,0.56,0.67,0.83,0.61,0.44,0.83,0,0,0,1,0,0,0,"zak",2
138,5,32,"природно-культурная_местность",0.44,0.67,0.44,0.72,0.61,0.44,0.72,0,0,0,1,0,0,0,"zak",2
139,5,32,"болотный_комплекс",0.67,0.56,0.44,0.78,0.5,0.61,0.78,0,0,0,1,0,0,0,"zak",2
140,5,32,"парк",0.61,0.72,0.83,0.78,0.5,0.5,0.83,0,0,1,0,0,0,0,"pp",2
141,5,33,"водно-болотное_угодье",0.72,0.39,0.72,0.89,0.67,0.61,0.89,0,0,0,1,0,0,0,"zak",1
142,5,33,"аллея",0.56,0.56,0.78,0.67,0.61,0.56,0.78,0,0,1,0,0,0,0,"pp",1
143,5,33,"городской_(поселковый)_парк_культуры_и_отдыха",0.61,0.61,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",2
144,5,33,"сквер",0.5,0.72,0.72,0.67,0.5,0.33,0.72,0,1,1,0,0,0,0,"np+pp",2
147,5,35,"экотуристическая_территория",0.5,0.61,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",3
148,5,35,"охраняемый_природный_комплекс",0.72,0.5,0.72,0.89,0.56,0.5,0.89,0,0,0,1,0,0,0,"zak",2
149,5,35,"охраняемый_парк",0.39,0.5,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",2
150,5,35,"загородный_парк",0.39,0.72,0.61,0.61,0.56,0.5,0.72,0,1,0,0,0,0,0,"np",2
151,5,70,"природно-рекреационная_территория",0.44,0.78,0.67,0.67,0.61,0.44,0.78,0,1,0,0,0,0,0,"np",3
152,5,71,"охраняемый_культурно-рекреационный_ландшафт",0.5,0.61,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",2
153,5,71,"охраняемая_природная_местность",0.61,0.5,0.5,0.72,0.72,0.61,0.72,0,0,0,1,1,0,0,"zak+mon",2
154,5,71,"охраняемый_природный_ландшафт",0.44,0.56,0.56,0.78,0.67,0.44,0.78,0,0,0,1,0,0,0,"zak",1
155,5,72,"охраняемый_природный_комплекс",0.61,0.39,0.61,0.89,0.61,0.56,0.89,0,0,0,1,0,0,0,"zak",1
156,5,72,"природный_резерват",0.56,0.33,0.56,0.83,0.67,0.56,0.83,0,0,0,1,0,0,0,"zak",1
157,5,72,"охраняемый_природный_ландшафт",0.5,0.72,0.61,0.72,0.67,0.5,0.72,0,1,0,1,0,0,0,"np+zak",2
158,5,73,"природный_комплекс",0.44,0.56,0.44,0.89,0.44,0.39,0.89,0,0,0,1,0,0,0,"zak",2
159,6,36,"историко-ландшафтный_комплекс",0.56,0.67,0.56,0.72,0.61,0.44,0.72,0,0,0,1,0,0,0,"zak",3
160,6,36,"охраняемый_природный_объект",0.56,0.44,0.56,0.78,0.61,0.56,0.78,0,0,0,1,0,0,0,"zak",2
162,6,37,"парк_культуры_и_отдыха_Ивановской_области",0.72,0.72,0.72,0.61,0.44,0.56,0.72,1,1,1,0,0,0,0,"zap+np+pp",1
163,6,37,"охраняемый_природный_комплекс",0.61,0.72,0.5,0.67,0.61,0.61,0.72,0,1,0,0,0,0,0,"np",2
164,6,37,"туристско-рекреационная_местность",0.5,0.61,0.72,0.78,0.44,0.44,0.78,0,0,0,1,0,0,0,"zak",2
165,6,38,"заповедный_участок",0.72,0.72,0.5,0.72,0.44,0.39,0.72,1,1,0,1,0,0,0,"zap+np+zak",2
166,6,38,"ландшафтный_памятник",0.72,0.72,0.5,0.72,0.44,0.39,0.72,1,1,0,1,0,0,0,"zap+np+zak",2
167,6,38,"садово-парковый_ландшафт",0.78,0.67,0.78,0.72,0.56,0.67,0.78,1,0,1,0,0,0,0,"zap+pp",2
168,6,39,"заповедный_участок",0.78,0.33,0.56,0.78,0.61,0.61,0.78,1,0,0,1,0,0,0,"zap+zak",2
169,6,39,"природно-исторический_и_экологический_парк",0.44,0.67,0.78,0.61,0.67,0.44,0.78,0,0,1,0,0,0,0,"pp",2
170,6,40,"городской_лес",0.5,0.61,0.94,0.83,0.56,0.39,0.94,0,0,1,0,0,0,0,"pp",2
171,6,40,"городской_парк_(сквер)",0.56,0.56,1,0.78,0.61,0.44,1,0,0,1,0,0,0,0,"pp",2
172,6,40,"памятник_садово-паркового_искусства",0.33,0.44,0.67,0.67,0.78,0.56,0.78,0,0,0,0,1,0,0,"mon",2
173,6,40,"памятник_живой_природы",0.56,0.44,0.44,0.83,0.67,0.61,0.83,0,0,0,1,0,0,0,"zak",2
174,6,41,"туристско-рекреационная_местность",0.61,0.61,0.72,0.78,0.56,0.39,0.78,0,0,0,1,0,0,0,"zak",1
175,6,41,"природно-культурный_комплекс",0.56,0.56,0.67,0.89,0.44,0.39,0.89,0,0,0,1,0,0,0,"zak",3
176,6,41,"дерево-памятник_живой_природы",0.44,0.44,0.56,0.78,0.89,0.67,0.89,0,0,0,0,1,0,0,"mon",2
177,6,42,"лесопарк",0.5,0.72,0.83,0.72,0.56,0.39,0.83,0,0,1,0,0,0,0,"pp",2
178,6,42,"зелёная_зона_городского_и_сельского_поселения",0.5,0.61,0.83,0.83,0.67,0.39,0.83,0,0,1,1,0,0,0,"pp+zak",2
179,6,42,"городская_рекреационная_зона",0.78,0.56,0.67,0.72,0.5,0.61,0.78,1,0,0,0,0,0,0,"zap",2
180,6,42,"памятник_садово-паркового_искусства",0.33,0.56,0.78,0.61,0.67,0.44,0.78,0,0,1,0,0,0,0,"pp",2
181,6,42,"охраняемый_ландшафт",0.67,0.44,0.67,0.89,0.56,0.5,0.89,0,0,0,1,0,0,0,"zak",2
182,6,42,"охраняемый_природный_объект",0.39,0.61,0.5,0.78,0.78,0.61,0.78,0,0,0,1,1,0,0,"zak+mon",2
183,6,42,"экологический_парк",0.5,0.61,0.72,0.67,0.39,0.44,0.72,0,0,1,0,0,0,0,"pp",2
184,6,43,"природный_микрозаповедник",0.56,0.28,0.61,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",1
185,6,43,"особо_охраняемый_водный_объект",0.61,0.61,0.39,0.78,0.39,0.5,0.78,0,0,0,1,0,0,0,"zak",3
186,6,43,"прибрежная_рекреационная_зона",0.5,0.61,0.94,0.83,0.56,0.39,0.94,0,0,1,0,0,0,0,"pp",1
187,6,43,"особо_охраняемый_геологический_объект",0.56,0.67,0.56,0.72,0.5,0.39,0.72,0,0,0,1,0,0,0,"zak",1
188,6,43,"природный_исторический_комплекс",0.78,0.78,0.44,0.67,0.39,0.33,0.78,1,1,0,0,0,0,0,"zap+np",1
189,6,43,"пространственный_экологический_комплекс",0.61,0.33,0.67,0.83,0.61,0.56,0.83,0,0,0,1,0,0,0,"zak",1
190,6,43,"природный_рекреационный_комплекс",0.56,0.78,0.78,0.67,0.5,0.33,0.78,0,1,1,0,0,0,0,"np+pp",2
191,6,43,"природный_резерват",0.56,0.39,0.61,0.78,0.61,0.5,0.78,0,0,0,1,0,0,0,"zak",2
192,6,43,"памятник_живой_природы",0.5,0.39,0.5,0.78,0.83,0.61,0.83,0,0,0,0,1,0,0,"mon",2
193,6,43,"ландшафтный_парк",0.61,0.61,0.72,0.78,0.44,0.44,0.78,0,0,0,1,0,0,0,"zak",2
201,6,44,"охраняемая_зелёная_зона",0.72,0.39,0.72,0.89,0.67,0.61,0.89,0,0,0,1,0,0,0,"zak",3
202,6,45,"охраняемая_садово-парковая_территория",0.5,0.72,0.83,0.72,0.56,0.39,0.83,0,0,1,0,0,0,0,"pp",2
203,6,45,"охраняемая_природно-ландшафтная_территория",0.5,0.72,0.83,0.72,0.56,0.39,0.83,0,0,1,0,0,0,0,"pp",2
204,6,45,"охраняемая_территория_занятая_особыми_деревьями",0.44,0.56,0.56,0.83,0.72,0.44,0.83,0,0,0,1,0,0,0,"zak",2
205,6,46,"охраняемый_природный_комплекс",0.56,0.56,0.56,0.89,0.56,0.39,0.89,0,0,0,1,0,0,0,"zak",1
206,6,46,"туристско-рекреационная_местность",0.61,0.72,0.83,0.78,0.5,0.5,0.83,0,0,1,0,0,0,0,"pp",3
207,6,46,"природный_резерват",0.61,0.39,0.61,0.94,0.56,0.5,0.94,0,0,0,1,0,0,0,"zak",2
208,6,46,"природно-культурная_местность",0.67,0.67,0.56,0.72,0.44,0.33,0.72,0,0,0,1,0,0,0,"zak",2
209,6,46,"болотный_комплекс",0.72,0.5,0.5,0.72,0.56,0.67,0.72,1,0,0,1,0,0,0,"zap+zak",2
210,6,46,"парк",0.61,0.61,0.83,0.72,0.56,0.56,0.83,0,0,1,0,0,0,0,"pp",2
211,6,46,"охраняемый_природный_объект",0.67,0.44,0.56,0.72,0.67,0.61,0.72,0,0,0,1,0,0,0,"zak",2
212,6,46,"природный_ландшафт",0.78,0.44,0.78,0.83,0.61,0.56,0.83,0,0,0,1,0,0,0,"zak",2
213,6,47,"природно-исторический_парк",0.44,0.67,0.78,0.61,0.67,0.44,0.78,0,0,1,0,0,0,0,"pp",1
214,6,47,"экологический_парк",0.78,0.56,0.44,0.72,0.5,0.61,0.78,1,0,0,0,0,0,0,"zap",1
215,6,47,"заповедный_участок",0.78,0.33,0.56,0.78,0.61,0.61,0.78,1,0,0,1,0,0,0,"zap+zak",1
216,6,47,"городской_лес",0.56,0.56,1,0.78,0.61,0.44,1,0,0,1,0,0,0,0,"pp",1
217,6,47,"водоохранная_зона",0.5,0.5,0.61,0.89,0.67,0.44,0.89,0,0,0,1,0,0,0,"zak",1
218,6,77,"городской_парк",0.56,0.78,0.78,0.67,0.5,0.33,0.78,0,1,1,0,0,0,0,"np+pp",2
224,6,81,"природно-антропогенный_рекреационный_комплекс",0.72,0.61,0.72,0.78,0.44,0.5,0.78,0,0,0,1,0,0,0,"zak",2
225,7,48,"лиманно-плавневый_комплекс",0.78,0.56,0.67,0.83,0.5,0.56,0.83,0,0,0,1,0,0,0,"zak",1
226,7,48,"природная_рекреационная_зона",0.5,0.61,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",1
227,7,48,"прибрежный_природный_комплекс",0.67,0.44,0.67,0.89,0.5,0.44,0.89,0,0,0,1,0,0,0,"zak",1
228,7,48,"эколого-этническая_зона",0.5,0.33,0.5,0.89,0.5,0.44,0.89,0,0,0,1,0,0,0,"zak",2
229,7,48,"природная_достопримечательность",0.61,0.61,0.61,0.67,0.67,0.5,0.67,0,0,0,0,0,0,1,"none",2
230,7,49,"природная_рекреационная_зона",0.5,0.61,0.83,0.78,0.5,0.44,0.83,0,0,1,0,0,0,0,"pp",2
231,7,49,"природная_достопримечательность",0.67,0.56,0.56,0.67,0.67,0.56,0.67,0,0,0,0,0,0,1,"none",2
232,7,50,"рекреационная_местность",0.5,0.72,0.83,0.72,0.56,0.39,0.83,0,0,1,0,0,0,0,"pp",2
233,7,50,"природный_микрозаказник",0.61,0.39,0.5,0.78,0.72,0.67,0.78,0,0,0,1,0,0,0,"zak",2
234,7,51,"охраняемый_природный_ландшафт",0.61,0.5,0.39,0.78,0.5,0.61,0.78,0,0,0,1,0,0,0,"zak",3
235,7,51,"микрозаказник",0.61,0.39,0.5,0.78,0.61,0.61,0.78,0,0,0,1,0,0,0,"zak",3
236,7,51,"особо_охраняемый_водный_объект",0.72,0.72,0.61,0.61,0.5,0.39,0.72,1,1,0,0,0,0,0,"zap+np",3
237,7,51,"охраняемая_озеленённая_и_лесная_территория",0.78,0.44,0.67,0.83,0.61,0.67,0.83,0,0,0,1,0,0,0,"zak",3
238,8,52,"природный_комплекс",0.5,0.5,0.5,0.83,0.72,0.5,0.83,0,0,0,1,0,0,0,"zak",2
239,8,52,"природный_объект",0.61,0.61,0.61,0.67,0.67,0.5,0.67,0,0,0,0,0,0,1,"none",2
240,8,53,"заповедное_урочище",0.67,0.33,0.56,0.83,0.56,0.67,0.83,0,0,0,1,0,0,0,"zak",1
241,8,53,"ландшафтно-рекреационный_парк",0.72,0.61,0.72,0.72,0.61,0.5,0.72,1,0,1,1,0,0,0,"zap+pp+zak",1
242,8,53,"парк-памятник_садово-паркового_искусства",0.5,0.72,0.61,0.67,0.61,0.5,0.72,0,1,0,0,0,0,0,"np",1
243,8,53,"зоологический_парк",0.78,0.67,0.56,0.61,0.56,0.61,0.78,1,0,0,0,0,0,0,"zap",1
244,8,53,"природная_территория",0.56,0.67,0.89,0.78,0.5,0.44,0.89,0,0,1,0,0,0,0,"pp",2
245,8,53,"природная_достопримечательность",0.61,0.5,0.5,0.72,0.72,0.61,0.72,0,0,0,1,1,0,0,"zak+mon",2
246,8,54,"прибрежный_природный_комплекс",0.67,0.56,0.67,0.83,0.61,0.44,0.83,0,0,0,1,0,0,0,"zak",1
247,8,54,"лиманно-плавневый_комплекс",0.78,0.44,0.67,0.83,0.61,0.67,0.83,0,0,0,1,0,0,0,"zak",1
248,8,54,"природно-рекреационная_зона",0.61,0.61,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",3
249,8,54,"природная_достопримечательность",0.67,0.56,0.44,0.67,0.67,0.67,0.67,0,0,0,0,0,0,1,"none",2
250,8,55,"водно-болотное_угодье",0.56,0.44,0.44,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",1
251,8,55,"природная_заповедная_территория",0.61,0.28,0.61,0.89,0.61,0.61,0.89,0,0,0,1,0,0,0,"zak",3
252,8,55,"нерестовый_массив",0.5,0.39,0.5,0.89,0.61,0.5,0.89,0,0,0,1,0,0,0,"zak",3
253,8,55,"парк",0.61,0.83,0.72,0.67,0.5,0.39,0.83,0,1,0,0,0,0,0,"np",2
254,8,55,"охраняемая_береговая_линия",0.56,0.44,0.44,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",2
255,8,55,"охраняемая_речная_система",0.56,0.44,0.44,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",2
256,8,55,"охраняемый_природный_ландшафт",0.61,0.5,0.5,0.83,0.61,0.56,0.83,0,0,0,1,0,0,0,"zak",2
257,8,55,"биологическая_станция",0.78,0.56,0.56,0.61,0.56,0.44,0.78,1,0,0,0,0,0,0,"zap",2
258,8,55,"охраняемый_природный_объект",0.5,0.39,0.5,0.78,0.72,0.56,0.78,0,0,0,1,0,0,0,"zak",2
259,8,56,"охраняемый_ландшафт",0.78,0.67,0.78,0.72,0.56,0.67,0.78,1,0,1,0,0,0,0,"zap+pp",3
260,8,56,"территория_представляющая_особую_ценность_для_сохранения_объектов_животного_и_растительного_мира_внесённых_в_Красную_книгу_Волгоградской_области",0.89,0.56,0.67,0.72,0.5,0.67,0.89,1,0,0,0,0,0,0,"zap",1
261,8,56,"природная_достопримечательность",0.44,0.56,0.67,0.72,0.78,0.56,0.78,0,0,0,0,1,0,0,"mon",2
262,8,57,"охраняемый_ландшафт",0.78,0.56,0.67,0.78,0.61,0.78,0.78,1,0,0,1,0,1,0,"zap+zak+dpbg",1
263,8,57,"охраняемый_природный_объект",0.72,0.5,0.39,0.61,0.67,0.61,0.72,1,0,0,0,0,0,0,"zap",1
264,8,57,"охраняемый_объект",0.72,0.5,0.83,0.78,0.56,0.5,0.83,0,0,1,0,0,0,0,"pp",2
266,8,58,"прибрежный_природный_комплекс",0.67,0.44,0.67,0.94,0.61,0.56,0.94,0,0,0,1,0,0,0,"zak",1
267,8,58,"ландшафтно-рекреационный_парк",0.5,0.72,0.72,0.61,0.67,0.5,0.72,0,1,1,0,0,0,0,"np+pp",1
268,8,58,"парк-памятник_садово-паркового_искусства",0.44,0.67,0.67,0.56,0.61,0.56,0.67,0,0,0,0,0,0,1,"none",1
